2433142	his doctoral advisor was ludwig bieberbach the mathematician and national socialist in 1930 pietsch was appointed to the mathematical review journal jahrbuch ber die fortschritte der mathematik and held the position until the start of world war ii on 22 november 1939 pietsch was conscripted into the wehrmacht as a mathematician and was ordered to report to inspectorate 7 vi abbr insp 7 iv the signals intelligence agency wehrmacht with the rank of specialist pietsch was assigned to the army signal security agency referat iv of insp 7 iv along with about a dozen other mathematicians that included several actuarial mathematicians this included the mathematicians herbert von denffer friedrich b hm and hans peter luzius referat iv dealt with analytical research specifically security of own process and this included distribution of keys and security of the enigma and security of hand ciphers and associated procedures by late 1940 the organisational layout of inspectorate 7 vi was found insufficient to handle the ever increasing amounts of intercept traffic and a plan was formulated to reorganise the unit in january 1941 the new unit called inspectorate 7 vi became operational pietsch was assigned to both referat 1 as deputy director with steinberg	his doctoral advisor was ludwig
2276142	w awdry it was released on 22 august 2017 in the us and on 16 october 2017 in the uk the film stars the voices of joseph may in the us and john hasler in the uk voice of thomas the tank engine it also stars the voices of rob rackstraw christopher ragland nigel pilkington keith wickham kerry shale and teresa gallagher with mark moraghan narrating his last special hugh bonneville lucy montgomery darren boyd jim howick sophie colquhoun colin mcfarlane and nicola stapleton join the cast this special deals with many traits that children have such as autism through the experimental engines on his way to deliver a goods train to bridlington on the mainland henry suffers an accident due to a faulty signal and has to be taken to the steamworks for repairs thomas is upset that sir topham hatt chooses james who has been teasing him to take the train in henry s place thomas collects the goods train before james so he can take it to bridlington himself somebody has to be the favorite however the troublesome trucks disorient him and he arrives at a canal where beresford a crane refuses to let thomas pass thomas	w awdry it was released on
2424624	since the nation s participation started in 1900 and its official debut in 1924 romanian athletes have appeared in every edition of the summer olympic games except for two occasions the 1932 summer olympics in los angeles at the period of the worldwide great depression and the 1948 summer olympics in london romanian athletes further achieved the entry standards either by qualifying time or by world ranking in the following track and field events up to a maximum of 3 athletes in each event romania women s national 3x3 team qualified directly for the olympics by securing an outright berth as one of the four highest ranked squads in the women s category of the fiba rankings marking the country s debut in the sport romania qualified a single boat in the men s c 2 1000 m for the games by finishing fifth in the final race at the 2019 icf canoe sprint world championships in szeged hungary romania entered one rider to compete in the men s olympic road race by virtue of his top 50 national finish for men in the uci world ranking romania entered one mountain biker to compete in the men s cross country	since the nation s participation started in
85621	with 36 183 units of the il 2 produced during the war and in combination with its successor the ilyushin il 10 a total of 42 330 were built making it the single most produced military aircraft design in aviation history as well as one of the most produced piloted aircraft in history along with the american postwar civilian cessna 172 and the soviet union s own then contemporary polikarpov po 2 kukuruznik multipurpose biplane to il 2 pilots the aircraft was simply the diminutive ilyusha to the soldiers on the ground it was the hunchback the flying tank or the flying infantryman its postwar nato reporting name was bark the il 2 aircraft played a crucial role on the eastern front when a factory fell behind on its deliveries joseph stalin told the factory manager that they were as essential to the red army as air and bread the idea for a soviet armored ground attack aircraft dates to the early 1930s when dmitry pavlovich grigorovich designed tsh 1 and tsh 2 armored biplanes however soviet engines at the time lacked the power needed to provide the heavy aircraft with good performance il 2 was designed by sergey ilyushin	with 36 183 units of the il
1649113	he is known for his colorful at times comical looks at united states history and native americans a member of the lac courte oreilles band of lake superior chippewa indians denomie lived on reservation until the age of four when his family moved to chicago illinois due to forced government relocation programs taking place within native communities in the 1960s this program started by dillon s myer head of bureau of indian affairs hoped to assimilate american indians into mainstream america by providing job and housing opportunities in major cities for selected families and individuals the stress of the relocation is credited as a contributing factor to the divorce of denomie s parents and he went to live with his mother at the age of five in minneapolis in the summers and winters he visited his grandparents on the reservation as a youth denomie struggled in school with the pressures to conform and fit in seeking support from family members on how to deal with racism stereotypes and peer pressure rarely helped as many of his relatives and friends dealt with their own conflicts in regards to assimilation into american culture as a teenager he started to abuse alcohol which	he is known for his colorful at
676801	it was initially formed from the 2nd battalion the queen s westminsters a motorized infantry unit which was joined by a cavalry unit the 23rd hussars three days later on 30 december just over a week later on 8 january 1941 the 23rd hussars were replaced by the 22nd dragoons and on 28 january the brigade was transferred to western command on 8 march the brigade was augmented with the addition of another cavalry unit the 2nd county of london yeomanry westminster dragoons and the following day another armoured regiment the 1st lothians and border yeomanry was added and the brigade also became part of the 11th armoured division alongside the 29th brigade for training under the command of major general percy hobart and operating the valentine tank soon after on 22 march the 2nd queen s westminsters were renamed the 12th battalion king s royal rifle corps on 20 april 1942 the brigade was briefly transferred to the 3rd armoured group and on 13 may it was transferred again to the 42nd armoured division the brigade lost the 12th krrc on 15 october 1943 and two days later on 17 october was transferred for the last time joining the	it was initially formed from the 2
1057466	he was a recipient of the knight s cross of the iron cross with oak leaves an artillery officer of the austro hungarian army in world war i martinek continued to served with the austrian bundesheer during the interwar period martinek was born on 2 february 1889 in gratzen now nov hrady czech republic where his father was a brewer enlisting in the army of austria hungary in 1907 he was promoted to leutnant in 1910 oberleutnant in 1914 and to hauptmann in 1917 for outstanding bravery serving with the bundesheer after world war i he taught at and during the 1930s headed the austrian military s artillery school reaching the rank of oberst by the time of the anschluss in austrian service he made a number of artillery innovations including new ranging and firing methods as well as a namesake sight adjustment system during world war ii he commanded the 267th infantry division from 5 november 1941 and the 7th mountain division during 1942 he was in command of the heavy concentrations of artillery in the siege of sevastopol as the higher artillery reserve commander of the 11th army which played a key role in the reduction of the	he was a recipient of the knight
1014846	named after tallahatchie county mississippi she was the only u s navy vessel to bear the name lst 1154 was laid down on 4 august 1945 at the boston navy yard launched on 19 july 1946 sponsored by mrs wilder d baker and commissioned on 24 may 1949 with commander courtland t babcock in command from her commissioning until 1962 lst 1154 alternated assignments for the amphibious force atlantic fleet along the east coast of the united states with assignment to the 6th fleet during periodic deployments to the mediterranean she was redesignated uss tallahatchie county lst 1154 on 1 july 1955 she was decommissioned at charleston sc naval shipyard in 1960 in preparation for conversion to avb 2 on 3 february 1962 her conversion was completed to an advance aviation base ship one of two ships of the steam powered lst 1153 class and redesignated uss tallahatchie county avb 2 her aft superstructure was extended forward and her forecastle built up electronic antennas and a heavy king post were mounted amidships as an avb tallahatchie county was designed to provide command and logistic facilities to a squadron of p 2 neptune or p 3 orion antisubmarine patrol planes operating	named after tallahatchie county
1556726	the squadron moved to the european theater of operations in the spring of 1944 it flew air support and air interdiction missions with douglas a 20 havoc bombers first from england then from advanced landing grounds on the european continent it received a distinguished unit citation for missions flown against german targets during the battle of the bulge in february 1945 the unit began converting to the douglas a 26 invader but the war ended before it flew any combat missions with its new aircraft it returned to the united states in the summer of 1945 and was inactivated at myrtle beach army air field south carolina on 7 november 1945 the squadron was activated at will rogers field on 1 july 1943 as one of the four original squadrons of the 410th bombardment group and equipped and trained with douglas a 20 havoc light bombers it completed training and left the united states for the european theater of operations in march 1944 the squadron arrived at its first overseas station raf birch in april 1944 but soon moved to raf gosfield the squadron flew its first combat mission the following month it helped to prepare for operation overlord the	the squadron moved to the europe
218894	she was one of six u boats of her kind equipped with special vertical tubes that launched the mines her keel was laid down 15 november 1940 by germaniawerft in kiel as yard number 647 the u boat was launched on 9 october 1941 and commissioned on 22 november with kapit nleutnant fritz hoeckner in command as one of the six german type viid submarines u 215 had a displacement of when at the surface and while submerged she had a total length of a pressure hull length of a beam of a height of and a draught of the submarine was powered by two germaniawerft f46 supercharged four stroke six cylinder diesel engines producing a total of for use while surfaced two aeg gu 460 8 276 double acting electric motors producing a total of for use while submerged she had two shafts and two propellers the boat was capable of operating at depths of up to the submarine had a maximum surface speed of and a maximum submerged speed of when submerged the boat could operate for at when surfaced she could travel at u 215 was fitted with five torpedo tubes four fitted at the bow and	she was one of six u boats
1737157	the studio originally functioned as a center for the resistance movement in french radio which in august 1944 was responsible for the first broadcasts in liberated paris it was here that schaeffer began to experiment with creative radiophonic techniques using the sound technologies of the time it was from d essai that schaeffer successfully recorded his first work which itself appeared on dix ans d essais radiophoniques du studio au club d essai 1942 1952 a compilation of his personal concr te along with many other artists experimental pieces released later in his life the compilation has since become valued as a notable publication of the experimental music genre following schaeffer s work with studio d essai at radiodiffusion nationale during the early 1940s he was credited with originating the theory and practice of musique concr te the studio d essai was renamed club d essai de la radiodiffusion t l vision fran aise in 1946 and in the same year schaeffer discussed in writing the question surrounding the transformation of time perceived through recording the essay evidenced knowledge of sound manipulation techniques he would further exploit compositionally in 1948 schaeffer formally initiated research in to noises at the club	the studio originally functioned as a
83375	he was especially renowned for his portrayal of king lear wolfit was born donald woolfitt at new balderton near newark on trent nottinghamshire and attended the magnus grammar school he made his stage d but in 1920 and first appeared in the west end in 1924 playing in the wandering jew he was married three times his first wife was the actress chris castor and their daughter margaret wolfit 1929 2008 was also an actress he also had two children by his second marriage harriet graham actress and children s author and adam wolfit photographer an active freemason he became master of green room lodge in 1965 wolfit was made a commander of the order of the british empire in 1950 for his services to the theatre and knighted in 1957 he played some major supporting roles at the old vic theatre in 1930 appearing in richard of bordeaux with john gielgud and finally gained prominence at the shakespeare memorial theatre in 1936 as hamlet whereupon he tried to persuade the management to finance him on a tour of the provinces they declined the invitation so he withdrew his savings and in 1937 started his own touring company which he	he was especially renowned for his portrayal
992155	bartels was credited with 99 victories making him a fighter ace a fighter ace is a military aviator credited with shooting down five or more enemy aircraft during aerial combat born in austria in 1918 and working as a baker to his late teenage years bartels joined the luftwaffe after germany s union with austria in 1938 bartels completed his training as a pilot in 1941 he was assigned to jagdgeschwader 26 fighter wing 26 jg 26 on the channel front which was tasked with intercepting royal air force raf incursions over occupied france and belgium he achieved his first aerial victory in august 1941 bartels was transferred to jagdgeschwader 5 on the eastern front where he was awarded the knight s cross of the iron cross for 46 aerial victories in 1943 bartels moved to jagdgeschwader 27 afrika to serve in the mediterranean and balkans theatres and by the years end had 73 victories in 1944 he returned to the western front and fought normandy campaign in june to august 1944 bartel s personal tally rose to 96 and he was nominated for the oak leaves of the knight s cross on 23 december 1944 while supporting german forces	bartels was credited with 99 victories
1428677	at manchester central high school in manchester he was a popular athlete and also demonstrated talents and skills as a scholar leader and organizer serving as president of the hi y chapter president of the maskers editor in chief of the oracle moderator of the discussion club and member of both the tennis and ski teams he was awarded the rotary cup in his senior year as the most outstanding student in his class rogers then entered dartmouth college in hanover new hampshire as a member of the class of 1944 after the united states entered world war ii blood left dartmouth and enlisted in the united states marine corps reserve on 3 january 1942 he accepted a commission as second lieutenant on 13 january 1943 and was promoted to first lieutenant on 1 february 1944 he served at the marine barracks at marine corps base quantico virginia and at camp lejeune north carolina from 21 may 1943 he served in the world war ii pacific theater of operations first lieutenant blood was serving in the 22nd marine regiment when it landed on engebi island as part of the invasion of eniwetok atoll on the day of the landings 18	at manchester central high school in
1785606	the sopd was the first and the largest of the collaboratist organizations in the country numbering perhaps a hundred former internees the sopd was founded in 1951 by jan hartman formerly of the nsb the fascist party that allied itself with the german nazi movement after the occupation of the netherlands in 1940 hartman became the organization s secretary a co founder was the lawyer jan wolthuis another former nsb member who had been a justice of the peace in arnhem during the german occupation essentially an nsb appointment to a political office meant to render anton mussert immune from prosecution and to handle infractions committed by nsb matters the organization was tolerated by the dutch government but a political party founded by sopd member paul van tienen was not van tienen an associate of swedish fascist per engdahl had founded a dutch chapter of engdahl s european social movement the werkgemeenschap europa in de lage landen working community europe in the low countries in 1951 he merged this group with the sopd to form the first post war extreme right party in the netherlands the nationaal europese sociale beweging national european social movement the party had numbered between 100	the sopd was the first
437730	otsuka was classified by the draft board as a conscientious objector subject to noncombatant service in the armed forces but he was unwilling to participate in the armed forces in any capacity and argued unsuccessfully that he should have been classified as a conscientious objector subject to civilian work of national importance unable to change his classification and unwilling to serve in the armed forces he surrendered to the new york district attorney and pleaded guilty to a violation of the draft law and sentenced to three years in prison otsuka testified again imprisoned in 1949 this time for not paying 4 50 in taxes as a war protest he stayed in prison a month longer than his 4 month sentence because he refused to pay his fine two months after his release on august 5 1950 one day before the fifth anniversary of the dropping of the atomic bomb on hiroshima he was arrested with two other protesters for passing out leaflets at the y 12 nuclear weapons facility in oak ridge tennessee these leaflets read in part i have come to oak ridge to dramatize to my fellow citizens that our tax money is being used in large	otsuka was classified by the draft
1610206	a spinoff of the kung fu panda franchise the special stars the voices of jack black angelina jolie dustin hoffman jackie chan seth rogen david cross lucy liu james hong and jack mcbrayer the special premiered on nbc on november 24 2010 and its premiere broadcast drew 5 9 million viewers master shifu dustin hoffman assigns po jack black to host the annual winter feast at the jade palace a highly ritualized formal occasion where all the kung fu masters of china attend insisting on the perfection of the event although excited po also wishes to spend the holiday with his father mr ping james hong and rejects the finest chefs in china in an attempt to have him cater the event however mr ping believes po is more concerned with his duties as the dragon warrior and adamantly remains at his restaurant to feed the townsfolk who have nowhere else to eat for the holiday guilt ridden po tries to cook the banquet by himself but is quickly overwhelmed by the myriad responsibilities that come with it further complicated by the interference of wo hop jack mcbrayer a rabbit chef he had accidentally disgraced earlier and is desperate to	a spinoff of the kung
2311731	in 1943 aged 16 he was conscripted for military service assigned initially to airforce support luftwaffenhelfer and then quite soon as a young solder sent to fight on the russian front he returned home only in 1949 having spent most of the intervening period as a prisoner of war 1949 was the year in which the entire central portion of germany till that point administered as the soviet occupation zone was hurriedly relaunched as the soviet sponsored german democratic republic east germany he now returned to the series of sketches on which he had embarked in 1943 centred on the horrors of war the theme was one of which he would find himself unable to let go for decades in the autumn fall of 1949 he enrolled at the college of architecture and fine arts hochschule f r architektur und bauwesen at weimar his teachers included martin domke and however the campus at weimar was undergoing radical reconfiguration at this time in response to new government priorities which in effect amounted a to a closing down during 1951 52 of what had been the college of architecture and fine arts by that time jaeger had moved on to dresden enrolling	in 1943 aged 16 he was cons
624094	it was directed by bruce beresford and stars glenn close as adrienne pargiter frances mcdormand as the brash dr verstak pauline collins as missionary margaret drummond based on missionary margaret dryburgh julianna margulies as u s socialite topsy merritt jennifer ehle as british doyenne and model rosemary leighton jones cate blanchett as australian nurse susan mccarthy and elizabeth spriggs as dowager imogene roberts basing his film on real events bruce beresford tells the story of a vocal orchestra created by the women in a japanese internment camp a classic survivors tale about women s ability to survive hardship and atrocity through perseverance solidarity and creativity the film opens with a dance at the cricket club in singapore wives and husbands soldiers and socialites are enjoying a night of dancing libations and conversation the scene is happy and carefree but the film continues to unfold and it soon becomes known that a war is raging right outside the doors paradise road is set during the time of world war ii and the japanese forces have just attacked singapore when a bomb explodes right outside the club it becomes known that the japanese have advanced beyond defensive lines the women and children	it was directed by bruce be
724612	although accurate and powerful with a high muzzle velocity it was very heavy with a low rate of fire which limited its production developed in 1935 by rheinmetall borsig as a commercial venture as the mg 101 later designated mk 101 with the mk abbreviating the term maschinenkanone as an autocannon the mk 101 cannon was a 30 mm 1 18 in long barreled automatic cannon capable of firing nine different types of 30x184b mm ammunition ranging from basic high explosive to tungsten cored armor piercing rounds featuring pneumatic cocking and fired by percussion via an electrical solenoid the mk 101 was recoil operated in operation the barrel and bolt recoiled 30 mm 1 18 in to the rear after each shot the bolt locked via a stange type machined sleeve with internal interrupted threads similar to some solothurn weapons such as the 7 92 mm 312 in mg 30 light machine gun the locking system was strong but rate of fire was limited to a rather slow 230 260 rpm which limited its use against other aircraft powerful and accurate for its day it was carried primarily on the henschel hs 129 ground attack aircraft commencing in late 1941	although accurate and powerful with a high
572381	she has been called one of the greatest avant garde women artists of the early 20th century and a pioneer in modern indian art drawn towards painting since a young age sher gil started getting formal lessons in the art at the age of eight she first gained recognition at the age of 19 for her oil painting titled young girls 1932 sher gil traveled throughout her life to various countries including turkey france and india deriving heavily from their art styles and cultures sher gil is considered an important painter of 20th century india whose legacy stands on a level with that of the pioneers from the bengal renaissance she was also an avid reader and a pianist sher gil s paintings are among the most expensive by indian women painters today although few acknowledged her work when she was alive amrita sher gil was born on 30 january 1913 in budapest hungary to umrao singh sher gil majithia a jat sikh aristocrat and a scholar in sanskrit and persian and marie antoniette gottesmann a hungarian jewish opera singer who came from an affluent bourgeois family her parents first met in 1912 while marie antoinette was visiting lahore her	she has been called one of the
1806742	it is about a group of 10 creatures called the numtums each with a number on their tummies the show debuted on cbeebies in the united kingdom on 27 february 2012 and ended on 15 december 2014 with a total of 3 series the numtums is about a group of 10 multicolored numbats who live in gumnut gorge called the numtums with numbers on their tummies the numtums are based on numbats hence their fondness for eating termites in their caf the tasty termite and they are named after australian towns except champer bizarrely the environment in which they live featuring saguaro cacti mesas and rock arches appears to be more akin to the colorado plateau and sonora deserts in the southwest united states than any part of australia the numtums was animated by beakus in series 1 and a productions in series 2 and 3 series 1 was aimed at toddlers but series 2 and 3 was revamped for an older audience introducing more complex concepts such as subtraction shape recognition and numbers from 11 to 20 with computer animation and using a more australian theme the creator barry quinn said in an interview that we were looking at	it is about a group of 10
999316	in 1935 he transferred to the austrian air force and following the anschluss austria s annexation into nazi germany he served in the german luftwaffe initially with jagdgeschwader 76 jg 76 76th fighter wing and later with jagdgeschwader 54 jg 54 54th fighter wing he flew his first combat missions in the invasion of poland and claimed his first aerial victory during the phoney war period on the western front following his 53rd aerial victory he was awarded the knight s cross of the iron cross the highest award in the military and paramilitary forces of nazi germany during world war ii on 19 june 1942 and the knight s cross of the iron cross with oak leaves on 30 october 1942 after 100 victories in early august 1943 stotz was appointed staffelkapit n squadron leader of the 5 staffel 5th squadron of jg 54 stotz was posted as missing in action after aerial combat near vitebsk on 19 august 1943 he was promoted to hauptmann captain posthumously stotz was born on 13 february 1912 in mannsw rth at the time in austria hungary he was the son of a farmer and joined the military service in the austrian army	in 1935 he transferred to the aust
564931	it had a more powerful main gun engine and thicker armor it was the first japanese tank to have a communication radio as standard equipment production of the tank did not begin until 1943 due to the higher priority of steel allocated to the imperial navy for warship construction a total of 170 units were built all of the tanks produced were allocated for the defense of the japanese home islands against the anticipated allied invasion after 1941 the imperial japanese army quickly realized that its 1930s designed medium tank the type 97 chi ha was inferior to the 1940s generation of allied armor such as the m4 sherman since the type 97 s low velocity 57 mm main gun was designed for infantry support in 1938 it could not penetrate the 1940s generation of allied armor whereas its own thin armor made the type 97 vulnerable to most adversaries equipped with anti armor capabilities in response a new series of tanks based on an improved type 97 design was conceived the first of this new series was the type 1 chi he work on the design began in 1941 however production did not begin until 1943 due to the	it had a more powerful main gun
1706558	he was chief of the armed forces special weapons project from 1952 to 1953 and chairman of the military liaison committee of the united states atomic energy commission from 1954 to 1961 a graduate of the united states military academy at west point he was commissioned in the us army corps of engineers in 1919 he graduated from the united states army command and general staff college at fort leavenworth kansas in 1940 and became assistant chief and later chief of the intelligence division at the office of the chief of engineers in washington dc in may 1942 he negotiated the loper hotine agreement under which responsibility for military mapping and survey of the globe was divided between the united states and the united kingdom in 1944 he was appointed chief engineer of us army forces pacific ocean areas in this role he was involved with the planning of the mariana and palau islands campaign and the okinawa campaign after the fighting ended he participated in the occupation of japan loper returned to the united states to become chief of the joint photo and survey section of the joint chiefs of staff s joint intelligence group in 1948 the next	he was chief of the armed forces
1142330	the battle is also called the blocking actions at shangcai by the communists who launched the battle to support their eastern hennan campaign with intention to prevent the nationalist force from reinforce their comrades in arms fighting the eastern hennan campaign during the first half of the chinese civil war communists lacked the necessary weaponry to destroy large formations of nationalist troops who were stationed in fortifications so they must be lured out of the fortifications and engaged in the open field where communists would have a chance and one of such occasion rose in june 1948 on june 15 1948 communists had decided to launch eastern hennan campaign to attack kaifeng thus forcing the nationalists to reinforce the defense of the city via redeployment communists planned to take the opportunity to destroy the nationalist reinforcement force while it was on the move nationalists order of battle communists order of battle communist strategy nationalist strategy in the morning of june 16 1948 song shilun s 10th column at leave county yexian and dancing sun wuyang in western henan received order to reach north of shangcai and be ready for the incoming battle no later than 9 00 am next morning	the battle is also called the blocking
